            java  3905 17107.443412:        496                                                               LLC-loads:      7f0e3938d56d int pim.algorithm.TreeNode.search(int)+0xad (/tmp/perf-3904.map)
            java  3905 17107.443439:        338                                                         LLC-load-misses:      7f0e3938d5ab int pim.algorithm.TreeNode.search(int)+0xeb (/tmp/perf-3904.map)
            java  3905 17107.443510:        334                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.443521:        499                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443565:        324                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443570:        490                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.443619:        322                                                         LLC-load-misses:      7f0e3938d517 int pim.algorithm.TreeNode.search(int)+0x57 (/tmp/perf-3904.map)
            java  3905 17107.443622:        494                                                               LLC-loads:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443676:        322                                                         LLC-load-misses:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.443682:        494                                                               LLC-loads:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.443726:        319                                                         LLC-load-misses:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.443734:        486                                                               LLC-loads:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.443775:        320                                                         LLC-load-misses:      7f0e3938d5c1 int pim.algorithm.TreeNode.search(int)+0x101 (/tmp/perf-3904.map)
            java  3905 17107.443780:        486                                                               LLC-loads:      7f0e3938d50e int pim.algorithm.TreeNode.search(int)+0x4e (/tmp/perf-3904.map)
            java  3905 17107.443824:        322                                                         LLC-load-misses:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
            java  3905 17107.443871:        324                                                         LLC-load-misses:      7f0e3938d593 int pim.algorithm.TreeNode.search(int)+0xd3 (/tmp/perf-3904.map)
            java  3905 17107.443882:        494                                                               LLC-loads:      7f0e3938d4f3 int pim.algorithm.TreeNode.search(int)+0x33 (/tmp/perf-3904.map)
            java  3905 17107.443922:        328                                                         LLC-load-misses:      7f0e3938d51c int pim.algorithm.TreeNode.search(int)+0x5c (/tmp/perf-3904.map)
            java  3905 17107.443937:        495                                                               LLC-loads:      7f0e3938d5c0 int pim.algorithm.TreeNode.search(int)+0x100 (/tmp/perf-3904.map)
            java  3905 17107.443975:        329                                                         LLC-load-misses:      7f0e3938d58e int pim.algorithm.TreeNode.search(int)+0xce (/tmp/perf-3904.map)
            java  3905 17107.443991:        492                                                               LLC-loads:      7f0e3938d569 int pim.algorithm.TreeNode.search(int)+0xa9 (/tmp/perf-3904.map)
            java  3905 17107.444026:        329                                                         LLC-load-misses:      7f0e3938d552 int pim.algorithm.TreeNode.search(int)+0x92 (/tmp/perf-3904.map)
            java  3905 17107.444046:        491                                                               LLC-loads:      7f0e3938d57b int pim.algorithm.TreeNode.search(int)+0xbb (/tmp/perf-3904.map)
