# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 247K of event 'LLC-load-misses'
# Event count (approx.): 255920901
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                    
# ........  ...............  ...................  ..........................................................................................................................................................................................
#
     0.02%  GC Thread#7      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.02%  C2 CompilerThre  libjvm.so            [.] Node::out_grow
     0.02%  C1 CompilerThre  libjvm.so            [.] LinearScan::resolve_data_flow
     0.02%  C2 CompilerThre  libjvm.so            [.] MachNode::in_RegMask
     0.02%  C1 CompilerThre  ld-2.28.so           [.] _dl_update_slotinfo
     0.02%  C2 CompilerThre  libjvm.so            [.] Block::has_uncommon_code
     0.02%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.02%  C2 CompilerThre  libjvm.so            [.] MachNode::oper_input_base
     0.02%  GC Thread#19     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.02%  GC Thread#13     [kernel.kallsyms]    [k] page_remove_rmap
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::shorten_branches
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::build_cfg
     0.02%  C2 CompilerThre  libjvm.so            [.] JVMState::interpreter_frame_size
     0.02%  C1 CompilerThre  libjvm.so            [.] ControlFlowOptimizer::delete_empty_blocks
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
     0.02%  C1 CompilerThre  libjvm.so            [.] LIRGenerator::state_for
     0.02%  C1 CompilerThre  libjvm.so            [.] DebugInformationRecorder::create_scope_values
     0.02%  C2 CompilerThre  libjvm.so            [.] NodeHash::grow
     0.02%  C1 CompilerThre  libpthread-2.28.so   [.] __pthread_mutex_lock
     0.02%  C1 CompilerThre  libjvm.so            [.] LinearScan::compute_global_live_sets
     0.02%  C2 CompilerThre  libjvm.so            [.] JVMState::debug_end
     0.02%  C2 CompilerThre  libjvm.so            [.] MachCallJavaNode::in_RegMask
     0.02%  C2 CompilerThre  libjvm.so            [.] NTarjan::DFS
     0.02%  C2 CompilerThre  libjvm.so            [.] Compile::remove_speculative_types
     0.02%  G1 Refine#3      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::coalesce
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::add_users_to_worklist
     0.02%  GC Thread#8      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::scratch_emit_size
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::schedule_early
     0.02%  C2 CompilerThre  libjvm.so            [.] IndexSet::free_block
     0.02%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::emit_op1
     0.02%  GC Thread#13     [kernel.kallsyms]    [k] unmap_page_range
     0.02%  C2 CompilerThre  libjvm.so            [.] Chunk::next_chop
     0.02%  C2 CompilerThre  libjvm.so            [.] Node_Array::remove
     0.02%  C2 CompilerThre  libjvm.so            [.] MachNode::bottom_type
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::copy_copy
     0.02%  C2 CompilerThre  libjvm.so            [.] Node::pinned
     0.02%  C2 CompilerThre  libjvm.so            [.] Node::disconnect_inputs
     0.02%  GC Thread#20     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.02%  C1 CompilerThre  ld-2.28.so           [.] __tls_get_addr
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::optimize
     0.02%  java             [kernel.kallsyms]    [k] generic_file_read_iter
     0.02%  GC Thread#13     libjvm.so            [.] G1ParScanThreadState::steal_and_trim_queue
     0.02%  C2 CompilerThre  libjvm.so            [.] Block::is_Empty
     0.02%  C1 CompilerThre  libjvm.so            [.] NullCheckEliminator::visit
     0.02%  C1 CompilerThre  libjvm.so            [.] vmSymbols::find_sid
     0.02%  java             [kernel.kallsyms]    [k] __list_del_entry_valid
     0.02%  G1 Refine#4      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.02%  C2 CompilerThre  [kernel.kallsyms]    [k] select_task_rq_fair
     0.02%  C1 CompilerThre  libjvm.so            [.] IntervalWalker::append_to_unhandled
     0.02%  C2 CompilerThre  libjvm.so            [.] MachProjNode::bottom_type
     0.02%  C2 CompilerThre  libjvm.so            [.] Node::set_req_X
     0.02%  C2 CompilerThre  libjvm.so            [.] Node::has_special_unique_user
     0.02%  C2 CompilerThre  libjvm.so            [.] GrowableArrayWithAllocator<unsigned int, GrowableArray<unsigned int> >::grow
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late_post_work
     0.02%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::move_op
     0.02%  C2 CompilerThre  libjvm.so            [.] resource_allocate_bytes
     0.02%  GC Thread#22     [kernel.kallsyms]    [k] copy_page
     0.02%  GC Thread#22     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.02%  java             [kernel.kallsyms]    [k] page_remove_rmap
     0.02%  GC Thread#2      [kernel.kallsyms]    [k] copy_page
     0.02%  C1 CompilerThre  libjvm.so            [.] LocationValue::write_on
     0.02%  C2 CompilerThre  libjvm.so            [.] TypeNode::bottom_type
     0.02%  GC Thread#11     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.02%  VM Periodic Tas  [kernel.kallsyms]    [k] copy_page
     0.02%  C1 CompilerThre  libjvm.so            [.] GlobalValueNumbering::GlobalValueNumbering
     0.02%  GC Thread#4      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScanWalker::alloc_free_reg
     0.01%  GC Thread#1      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.01%  C2 CompilerThre  libjvm.so            [.] rRegIOper::type
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::Compute_Effective_Degree
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::test_edge_sq
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::split_USE
     0.01%  GC Thread#5      libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIterGVN::remove_speculative_types
     0.01%  C1 CompilerThre  libjvm.so            [.] LIR_Assembler::emit_exception_entries
     0.01%  C2 CompilerThre  libjvm.so            [.] Matcher::ReduceInst_Interior
     0.01%  C2 CompilerThre  libjvm.so            [.] Matcher::Label_Root
     0.01%  G1 Refine#5      libjvm.so            [.] OopOopIterateBoundedDispatch<G1ConcurrentRefineOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, oopDesc*>
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseCFG::remove_empty_blocks
     0.01%  GC Thread#12     libjvm.so            [.] G1ScanCardClosure::do_oop_work<oopDesc*>
     0.01%  GC Thread#0      [kernel.kallsyms]    [k] copy_page
     0.01%  C1 CompilerThre  libjvm.so            [.] ValueStack::pin_stack_for_linear_scan
     0.01%  C1 CompilerThre  libjvm.so            [.] Label::patch_instructions
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::split_if_with_blocks_pre
